Name,Gender,pronunciation,Type,Sub-type,Igbo Orthography,Translation,Meaning,Related Names,Notes,Famous persons,Name Spread,Ndebe Script
Afanna,,,,,/Afa-Nna/ The father's name. dialectal var. of Ahanna. Closely related to Afamefuna- thus; may the father's name not be lost,,,,,,,
Afoemezie,,,,,"/Af?-emezie/ Afor has remedied (a situation). For a child born on Afor day. See Ekemezie, Chiemezie",,,,,,,
Afor,,,,,/Af?/ 1. One of the four Igbo Market days. 2. One of the four days of the igbo week,,,,,,,
Afudoh,,,,,,,,,,,,
Afuluchi,,,,,/A-f?l?-chi/ Who has seen god?,,,,,,,
Afunugo,,,,,/Af?n?go/ Has anyone ever seen such marvel? Something wonderous,,,,,,,
Afunwa,,,,,"/Af?-Nwa/ Short  for the expression: /Afu-nwa-echeta-nna/ When we see the child, we are reminded the father. *An expression that points to how progenies are an extension of their parents",,,,,,,
Afuzuo,,,,,/Afu-zuo/ We have seen in fullness,,,,,,,
Agbala,,,,,/Agbala/ A Shrine or An Oracle. dialectal var. of Agbara,,,,,,,
Agbalanze,,,Title Name,,/Agbala-nze/ An upstanding or a prestigeous Agbala,,,,,,,
Agbapuluonwu,,,,,/A-gbap?l?-?nw?/ To abandon all in escaping death.,,,,,,,
Agbara,,,,,/Agbara/ A Shrine or An Oracle. dialectal var. of Agbala,,,,,,,
Agbarakwe,,,,,/Agbara-kwe/ If it pleases the Agbara,,,,,,,
Aghadinuno,,,,,/Agha-d?-na-?n?/ There is war in (my) home,,,,,,,
Aghaelina,,,,,/Agha-elina/ May the war or battle not consume (us),,,,,,,
Aghanya,,,,,/Agha-anya/ lit: A war of eyes. *Speculation: possibly a family where the man percieves he is envied or that everyone views the other with suspicion.,,,,,,,
Agozie,,,,,/Ag?zie/ lit: Has blessed. short for Chiagozie,,,,,,,
Agu,,,,,/Ag?/ Leopard,,,,,,,
Aguchukwu,,,,,,,,,,,,
Aguiyi,,,,,/Ag?-iyi/ The Crocodile,,,,,,,
Aguluefo,,,,,"/Ag?l?/ Agulu has broken forth or Agulu has risen. *Typically borne by people from Agulu a town in Anambra State, South-Eastern, Nigeria",,,,,,,
Agumadu,,,,,"/Ag?-mmad?/ Desire for more people. See: Igwenagu, Adigwe",,,,,,,
Agumba,,,,,/Ag?-mba/ The nation's leopard,,,,,,,
Aguolu,,,,,,,,,,,,
Agupugo,,,,,/Ag?p?go/ One has been counted out ,,,,,,,
Agwu,,,,,/Agw?/ 1. The god of confusion or madness; the executioner or punisher of the gods. Also the god of divination *A child so named in honour of or as homage to the god.,,,,,,,
Agwuegbo,,,,,"Short for 1. ""Agw?-egboo-nkpa"" Agwu has supplied my needs 2. short for ""Agw?-egboo-ogu"" Agwu has restored peace between contending parties. See also Chiegboka, Aniegboka",,,,,,,
Agwuncha,,,,,,,,,,,,
Ahamefula,,,,,"/Aha-m-efula/ Lit: May my name never be lost. Dialectal var. of Afamefuna. *When the Igbo's speak about names, it also connotes our heritage, culture or history.",,,,,,,
Ahanna,,,,,/Aha-nna/ The father's name. dialectal var. of  Afanna. Closely related to Afamefuna,,,,,,,
Ahumareze,,,,,,,,,,,,
Aja (1),,,,,/Aja/ Sacrifice.,,,,,,,
Aja (2),,,,,/Àjà/ Sand.,,,,,,,
Ajaegbu,,,,,,,,,,,,
Ajaero,,,,,,,,,,,,
Ajana,,,,,/Ajana/ The goddess of the earth,,,,,,,
Ajulu,,,,,/Aj?l?/ Did one inquire. short for Ajuluchukwu,,,,,,,
Ajuluchi,,,,,/Aj?l?-chi/ ,Did anyone inquire of or interrogate God. *In receiving (this) blessing,,,,,,
Ajuluchukwu,,,,,/Aj?l?-chukwu/ ,Did one inquire of or interrogate God. *In receiving (this) blessing,,,,,,
Ajuzieogu,,,,,/Aj?zie-?g?/ ,We now reject war,,,,,,
Akabogu,,,,,/Aka-b?-?g?/ ,The hand that signals war or The hand of war,,,,,,
Akachukwu,,,,,/Aka-chukwu/ ,God's hands,,,,,,
Akame,,,,,/Aka-mee/ ,Let (my) hands make it work or Let things come by my hands.,,,,,,
Akamnonu,,,,,/Aka-m-na-?n?/ ,I prevail with words. An Orator,,,,,,
Akaogu,,,,,/Aka-?g?/ ,Hand of Battle,,,,,,
Akaolisa,,,,,/Aka-olisa/ ,The Hand of Olisa,,,,,,
Akata,,,,,,,,,,,,
Ako,,,,,/Ak?/ Wisdom,,,,,,,
Akobundu,,,,,/Ak?-b?-nd?/ Wisdom gives life,,,,,,,
Akonam,,,,,short for Nkemakonam,,,,,,,
Akondu,,,,,/Ak?-nd?/ contraction of Akobundu,,,,,,,
Akorah,,,,,/Ak?-?ra/ The wisdom of the people,,,,,,,
Akowundu,,,,,/Ak?-w?-nd?/ dialectal var. of Akobundu,,,,,,,
Akpatuligwe,,,,,/Akpat?l?-igwe/ lit. To touch the sky. imp. One to accomplish great things.,,,,,,,
Akpumezue,,,,,"/Akp?-m-ezue/ lit: My cassava is complete. Imp: I, now, have received the full measure of my wealth. See also Akuezue",,,,,,,
Akpuoye,,,,,/Akp?-oye/ lit: Cassava that was harvested on Oye day. Imp: A child born on Oye day,,,,,,,
Aku,,,,,/Ak?/ Wealth,,,,,,,
Akuanyionwu,,,,,/Ak?-anyir?-?nw?/ Wealth can't subdue death. imp. Everyone and Everything is subject to death and we are helpless,,,,,,,
Akuezue,,,,,"/Ak?-ezue/ Wealth has become complete. imp. Fulfilment. *A child is considered as part of family's wealth so at some point in the marriage when a child is welcomed to the family, the parents may joyfully announce that this is the icing on the cake. See also Akpumezue",,,,,,,
Akujieze,,,,,,,,,,,,
Akuluo,,,,,/Ak?-lue/ Short for Akuluouno,,,,,,,
Akuluouno,,,Title Name,,"/Ak?-luo-?n?/ lit: Let the wealth reach home. imp: Let one's kins partake of the wealth (knowledge, children, material) one acquired from you travels",,,,,,,
Akunna,,,,,/Ak?-Nna/ The Father's wealth,,,,,,,
Akunne,,,,,/Ak?-Nne/ The Mother's wealth,,,,,,,
Akunyili,,,,,"/Ak?-ny?l?/ Wealth subdued. Probable expression: ""Akunyilionwu""- Wealth overcame death",,,,,,,
Akuozo,,,,,/Ak?-?z?/ Wealth of the Ozo titled man,,,,,,,
Akwaeke,,,,,/Akwa-eke/ lit. The python's egg. imp. Something/Someone precious,,,,,,,
Akwaobi,,,,,/Akwa-obi/ Grief,,,,,,,
Akwaugo,,,,,/Akwa-ugo/ An eagle's egg. *Someone precious,,,,,,,
Ala,,,,,"/Ala/ 1. The earth goddess. 2. The ground. dialectal var. of Ali, Ana, Ani",,,,,,,
Alaefuna,,,,,/Ala-efuna/ May one's land not be lost,,,,,,,
Alaezi,,,,,/Ala-ezi/ Ala has revealed (itself),,,,,,,
Alakwe,,,,,/Ala-kwe/ May Ala agree/permit/approve. A dialectal var. of Anikwe,,,,,,,
Alajemba,,,,,,,,,,,,
Alaribe,,,,,,,,,,,,
Ali,,,,,"/Al?/ 1. The earth goddess. 2. The ground. dialectal var. of Ala, Ana, Ani",,,,,,,
Alobele,,,,,,,,,,,,
Alor,,,,,/Al?/ 1. A god/deity 2. Hunting/fighting spear. 3. Movable alter of the Alor god shaped like a spear (usually kept in the Obu of the man) as in the name Obualor,,,,,,,
Amachiri,,,,,/Ama-chiri/ The Amah has ceased or has been occupied. See names like Obiechina and Uzoechina for context.,,,,,,,
Amadi,,,,,/Amadi/ A man,,,,,,,
Amadioha,,,,,"/Amadi-?ha/ lit: The man of the people. 2. The god of thunder. See also Kamanu, Kamalu, Akanu",,,,,,,
Amaechi,,,,,/Ama-echi/ Does one know what tomorrow may bring?. See also Onyemaechi,,,,,,,
Amaefule,,,,,/Ama-efula/ May the Amah not be lost. A dialectal var of Amaefuna,,,,,,,
Amaefuna,,,,,/Ama-efuna/ May the Amah not be lost. A dialectal var of Amaefula,,,,,,,
Amah,,,,,/Ama/ 1. A communal piece of land/space for gathering. 2. One's piece of land or compound ,,,,,,,
Amaka ,,,,,"/Amaka/ So beautiful. short for: Ukamaka, Nwamaka, Nneamaka, Chiamaka",,,,,,,
Amaku,,,,,/Ama-ak?/ The Amah that bears wealth,,,,,,,
Amanie,,,,,,,,,,,,
Amanke,,,,,,,,,,,,
Amanze,,,,,/Ama-nze/ The Amah of titled or upstanding men,,,,,,,
Amara,,,,,/Amara/ Grace,,,,,,,
Amarachi,,,,,/Amara-chi/ Grace of God. also rendered as Amarachukwu,,,,,,,
Amarachukwu,,,,,/Amara-chukwu/ Grace of God. ,,,,,,,
Amobi,,,,,/Ama-obi/ Does one know the (human) heart?,,,,,,,
Amulumma,,,,,/Am?l?-mma/ We gave birth to a beauty,,,,,,,
Amulunamma,,,,,/Am?l?-na-mma/ Born under good circumstance or Born into good fortune. ,,,,,,,
Amuzie,,,,,/Amuzie/ To birth properly. (Context: A child who had come after a number of miscarriages),,,,,,,
Ana,,,,,"/Ana/ 1. The earth goddess. 2. The ground. Also rendered as Ala, Ali, Ani",,,,,,,
Anadumaka,,,,,,,,,,,,
Anaebonam,,,,,/Ana-ebona-m/ May Ani not (falsely) accuse me,,,,,,,
Anaekeokwu,,,,,/Ana-ekee-okwu/ Ana has settled a dispute,,,,,,,
Anaekwe,,,,,/Ana-ekwe/ Ana has agreed/permited/approved. dialectal var of Aniekwe,,,,,,,
Anagbado,,,,,,,,,,,,
Anagbogu,,,,,/Ana-gboo-?g?/ May Ani resolve (the) conflict,,,,,,,
Anagor,,,,,Short for Anagorom. ,,,,,,,
Anagorom,,,,,/Ana-ag?r?-m/ Ana defends me or absolves me of wrongdoing in a case,,,,,,,
Anajama,,,,,,,,,,,,
Anajemba,,,,,,,,,,,,
Anakwue,,,,,/Ana-kwue/ Let Ana speak/testify,,,,,,,
Analokwu,,,,,,,,,,,,
Anara,,,,,/Ana-raa/ Let Ana let me be,,,,,,,
Anaso,,,,,/Ana-so/ Ana is with me,,,,,,,
Anatasiaku,,,,,/Anatasia-ak?/ We have received all of our wealth,,,,,,,
Anayo,,,,,/Anay?/ To offer suplications. Short for Kanayo,,,,,,,
Anazodo,,,,,,,,,,,,
Aneke,,,,,,,,,,,,
Anene,,,,,Short for Anenechukwu,,,,,,,
Anenechukwu,,,,,/Ana-ene-chukwu/ lit: We focus on Chukwu. imp.Dependence on God. see also Anyalebechi.,,,,,,,
Ani,,,,,"/An?/ 1. The earth goddess. 2. The ground. dilectal var of Ala, Ali, Ana",,,,,,,
Aniagor,,,,,Short for Aniagorom,,,,,,,
Aniagorom,,,,,/An?-ag?r?-m/ Ani defends me or absolves me of wrongdoing in a case,,,,,,,
Aniama,,,,,,,,,,,,
Aniche,,,,,,,,,,,,
Anichebe,,,,,/An?-chebe/ May Ani protect,,,,,,,
Aniebo,,,,,/An?-ebo/ short for Aniebonam,,,,,,,
Aniebonam,,,,,/An?-ebona-m/ May Ani not accuse me,,,,,,,
Aniedube,,,,,/Ani-e-dube/ Ani has taken the lead,,,,,,,
Aniegboka,,,,,/An?-egboka/ Ani made timely provision,,,,,,,
Anieke,,,,,,,,,,,,
Aniekwe,,,,,/An?-ekwe/ Ani has agreed/permited/approved. A dialectal var. of Anaekwe,,,,,,,
Anielo,,,,,/An?-elo/ Ani counselled. See Oseloka,,,,,,,
Anienye,,,,,/An?-enye/ Ani has given,,,,,,,
Aniesodo,,,,,,,,,,,,
Anikwe,,,,,/An?-kwe/ May Ani agree/permit/approve. A dialectal var. of Alakwe,,,,,,,
Anikwenwa,,,,,/An?-kwe-nwa/ May Ani permit this child (to live),,,,,,,
Animalu,,,,,/An?-mal?/ That Ani may know,,,,,,,
Anisiuba,,,,,,,,,,,,
Aniukwu,,,,,/Ani-ukwu/ The great Ani. See Chukwu,,,,,,,
Anizoba,,,,,/An?-z?ba/ May Ani continue to save us. see also Chizoba,,,,,,,
Anosike,,,,,/A-n?-sie-ike/ To stay confidently or boldly,,,,,,,
Anozie,,,,,/An?zie/ To find one's footing or become better positioned,,,,,,,
Anua,,,,,,,,,,,,
Anueyiagu,,,,,/Anu-eyi-agu/ There is no beast like the leopard,,,,,,,
Anuforo,,,,,,,,,,,,
Anuli,,,,,"/A?ul?/ Joy. A dialectal var. of A?ur? *The ""n"" is pronounced as a flat ""nw"" sound",,,,,,,
Anulika,,,,,/A?ul?-ka/ Joy is far more important,,,,,,,
Anumba,,,,,,,,,,,,
Anunwa,,,,,,,,,,,,
Anuri,,,,,"/A?uri/ Joy. A dialectal var. of A?uli *The ""n"" is pronounced as a flat ""nw"" sound",,,,,,,
Anwuna,,,,,/Anwuna/ Never die,,,,,,,
Anyadike,,,,,/Anya-eze/ lit: Eyes of the warrior. ,,,,,,,
Anyaegbu,,,,,/Anya-egbu/ One who can't die and won't be cowered by malicious gaze ,,,,,,,
Anyaegbunam,,,,,/Anya-egbuna-m/ May (malevolent) gaze not bring about my death or cause me to cower,,,,,,,
Anyaeze,,,,,/Anya-eze/ The king's eye.,,,,,,,
Anyakora,,,,,,,,,,,,
Anyalebechi,,,,,/Anya-lebe-chi/ Let all eyes be on our Chi,,,,,,,
Anyansi,,,,,/Anya-ns?/ Evil gaze See Anyaoku,,,,,,,
Anyanwu,,,,,/Anya-anw?/ 1. The Sun 2. The  Sun goddess,,,,,,,
Anyaoku,,,,,/Anya-?k?/ Envy,,,,,,,
Arachie,,,,,/Arachie/ Supplanting. ,,,,,,,
Aralu,,,,,/Aralu/ Short for the expression: Aralu-ekwue- Discussions/Resolutions  are to be had amongst equals. We can only have a discussion when you attain our heights.,,,,,,,
Arinze,,,,,Thanks to. Short for Arinzechukwu,,,,,,,
Arinzechukwu,,,,,/Arinze-chukwu/ Thanks to God,,,,,,,
Aronu,,,,,,,,,,,,
Arumma,,,,,/Ar?-mma/ Beautiful body. Approx. A pretty child,,,,,,,
Ashibuogwu,,,,,/Ashi-b?-?gw?/ ,,,,,,,
Asiegbu,,,,,/As?-egbu/ One who cant be killed by or who refuses to be cowered by the hostility (of others),,,,,,,
Asiegbunam,,,,,/As?-egbune-m/ May their enmity not kill me (or cause me to cower),,,,,,,
Asika,,,,,/Asi-ka/ Hostility abound,,,,,,,
Asoluka,,,,,,,,,,,,
Asomugha,,,,,/As?-m-?gha/ I detest deceit,,,,,,,
Atile,,,,,,,,,,,,
Atuegwu,,,,,/At?-egwu/ Being fearless,,,,,,,
Awugosi,,,,,,,,,,,,
Ayika,,,,,"/Anyi-yili-anyi-aka/ If we move together, we become greater.",,,,,,,
Azikiwe,,,,,,,,,,,,
Azokam,,,,,Short for Chiazokam,,,,,,,
Azubuike,,,,,The past or history or experience is might,,,,,,,
Azubundu,,,,,The past/history/experience moulds our lives,,,,,,,
Azuka,,,,,"/Az?-ka/ The past, or history or experience is paramount or learning from the past has far much value",,,,,,,
Belonwu,,,,,/Belu-?nw?/ If not for death,,,,,,,
Beluchi,,,,,/Bel?-chi/ If not for God,,,,,,,
Beluolisa,,,,,/Bel?-Olisa/ If not for the Lord,,,,,,,
Chekwube,,,,,/Chekwube/ lit: Trust in,,,,,,,
Cheluchi,,,,,/Chelu-chi/ Wait upon God. A dialectal var. of Cherechi,,,,,,,
Cherechi,,,,,/Chere-chi/ Wait upon God. A dialectal var. of Cheluchi,,,,,,,
Cheta,,,,,"/Cheta/ Remember (short for: Chetanna, Chetachukwu)",,,,,,,
Chetachukwu,,,,,/Cheta-chukwu/ Remember God,,,,,,,
Chetanna,,,,,/Chet-nna/ Remember the father,,,,,,,
Chi,,,,,"/Chi/ 1. The personal spirit believed by the Igbos to direct the fates of individuals.  2. The short for Chukwu. *Names like Chioma were originally in reference to (1.) but with christianization, the names are redefined to reference (2.)",,,,,,,
Chiadikobi,,,,,/Chi-adika-obi/ God has been so good to (my heart),,,,,,,
Chiaghana,,,,,/Chi-aghana/ May God not leave (me) behind,,,,,,,
Chiagozie,,,,,/Chi-agozie/ God has blessed (me),,,,,,,
Chiamaka,,,,,/Chi-amaka/ God is so beautiful,,,,,,,
Chiamanda,,,,,/Chi-aman-da/ God will never fail. A var. of Chimamanda,,,,,,,
Chianumuya,,,,,/Chi-an?-m-?ya/ God has heard my grief,,,,,,,
Chiazo,,,,,Short for Chiazokam,,,,,,,
Chiazokam,,,,,/Chi-az?ka-m/ God really saved me.,,,,,,,
Chibudom,,,,,/Chi-b?-udo-m/ God is my peace,,,,,,,
Chibueze,,,,,/Chi-b?-eze/ God is King,,,,,,,
Chibuife,,,,,/Chi-b?-?fe/ God is light. A dialectal var. of Chibuihe. See also Chife,,,,,,,
Chibuifem,,,,,/Chi-b?-?fem/ God is my light,,,,,,,
Chibuihe,,,,,/Chi-b?-ihe/ God is light. see also Chibuife,,,,,,,
Chibuzor,,,,,/Chi-b?-?z?/ God leads the way or God is the way,,,,,,,
Chidebelu,,,,,/Chi-debelu/ God kept or preserved (me). See also Osadebe,,,,,,,
Chidebem,,,,,/Chi-debe-m/ May God keep me,,,,,,,
Chidera,,,,,/Chi-deraa/ Once God has written. A more specific variant of Odera,,,,,,,
Chidi,,,,,Contraction of Chukwudi. Also rendered as Chudi,,,,,,,
Chidiadi,,,,,/Chi-d?-ad?/ God certainly is,,,,,,,
Chidiebele,,,,,/Chi-d?-ebele/ God is merciful. A dialectal var of Chidiebere,,,,,,,
Chidiebere,,,,,/Chi-d?-ebere/ God is merciful. A dialectal var of Chidiebele,,,,,,,
Chidiebube,,,,,/Chi-d?-ebube/ God is glorious,,,,,,,
Chidimma,,,,,/Chi-di-mma/ God is good,,,,,,,
Chidiogo,,,,,/Chi-di-?g?/ God favours,,,,,,,
Chidire,,,,,/Chi-di-ire/ God is omnipotent,,,,,,,
Chidolue,,,,,,,,,,,,
Chidozie,,,,,/Chi-dozie/ May god restore/repair (something),,,,,,,
Chidubem,,,,,/Chi-dube-m/ May God lead me,,,,,,,
Chidumeje,,,,,/Chi-du-m-eje/ God is leading me in his journey,,,,,,,
Chiedego,,,,,/Chi-edego/ God has written it,,,,,,,
Chiegboka,,,,,/Chi-egboka/ God made timely provision,,,,,,,
Chieka,,,,,,,,,,,,
Chiekezie,,,,,/Chi-ekezie/ God has apportioned fairly,,,,,,,
Chielotam,,,,,/Chi-elota-m/ God has remembered me,,,,,,,
Chielozonam,,,,,/Chi-elozona-m/ May God never forget me,,,,,,,
Chiemelie,,,,,/Chi-emelie/ God has won,,,,,,,
Chiemezie,,,,,"/Chi-emezie/ Chi has remedied (a situation). See Afomezie, Ekemezie",,,,,,,
Chienyem,,,,,/Chi-enye-m/ God has given me,,,,,,,
Chife,,,,,/Chi-?fe/ God of light. God who brings light,,,,,,,
Chigaemezu,,,,,"/Chi-ga-emezu/ God will fulfill. Full expression: ""Chi ga emezu nkwa ya""- God will fulfull his promises",,,,,,,
Chigbata,,,,,/Chi-gbata/ May God come quickly (to my aid),,,,,,,
Chigbo,,,,,"/Chi-gboo/ short for Chigbogu, Chigbonkpa",,,,,,,
Chigbogu,,,,,"/Chi-gboo-?g?/ May God resolve (the) dispute. A var. of Mogbo, Anagbogu",,,,,,,
Chigbonkpa,,,,,/Chi-gboo-nkpa/ May God supply my needs  ,,,,,,,
Chigozie,,,,,/Chi-g?zie/ God bless (my effort),,,,,,,
Chijindu,,,,,/Chi-j?-nd?/ God holds life. A var. of  Ekejindu,,,,,,,
Chijioke,,,,,/Chi-ji-oke/ God holds (my) portion,,,,,,,
Chikaima,,,,,/Chi-ka-any?-ma/ It is God we know,,,,,,,
Chikamjiaba,,,,,"/Chi-ka-m-j?-aba/ God, it is, by whom I prosper",,,,,,,
Chikamso,,,,,/Chi-ka-m-so/ It is God that I follow,,,,,,,
Chikaodili,,,,,/Chi-ka-?d?l?/ It is reserved or left for God (to intervene as he so pleases). Also rendered as Chikodili,,,,,,,
Chikaosolu,,,,,/Chi-ka-?s?l?/ It is God that it pleases (to grant me this blessing),,,,,,,
Chikauche,,,,,/Chi-ka-uche/ God is greater than (human) thoughts/will.,,,,,,,
Chike,,,,,Short for Chukwunweike or Chinweike.,,,,,,,
Chikelu,,,,,/Chi-kelu/ lit: God that created ,,,,,,,
Chikeluba,,,,,/Chi-kelu-uba/ God (who) created properity/abundance,,,,,,,
Chikeluo,,,,,/Chi-keluo/ May God make his blessings reach me. A var. of Okelue See Chikezie and Chiekezie for context,,,,,,,
Chikezie,,,,,/Chi-kezie/ May God grant our fair portion,,,,,,,
Chikwe,,,,,/Chi-kwe/ If chi agrees/permits/approves/grants ,,,,,,,
Chikwelu,,,,,/Chi-kwel?/ God is worthy,,,,,,,
Chikwendu,,,,,/Chi-kwe-nd?/ May God approve life or May God grant us life,,,,,,,
Chikwu,,,,,a dialectal var of Chukwu,,,,,,,
Chima,,,,,/Chi-ma/ God Knows. A var of Chuma. Short  for Chukwuma,,,,,,,
Chimamanda,,,,,/Chi-m-aman-da/ My God will never fail. A personalised var. of Chiamanda,,,,,,,
Chimaobi,,,,,/Chi-ma-obi/ God Knows our hearts. See Amobi,,,,,,,
Chimaroke,,,,,/Chi-mara-oke/ God who knows my portion,,,,,,,
Chimdike,,,,,/Chim-d?-ike/ My God is powerful,,,,,,,
Chimdire,,,,,/Chi-m-di-?re/ My God is Omnipotent,,,,,,,
Chime,,,,,/Chi-me/ God who does/did. Also short for Chimeremeze,,,,,,,
Chimeremeze,,,,,/Chi-mere-m-eze/. God made me king,,,,,,,
Chimezie,,,,,/Chi-mezie/ Let Chi remedy (a situation),,,,,,,
Chimkaririfa,,,,,/Chi-m-kar?r?-?fa/ My God is above this very situation,,,,,,,
Chimnoya,,,,,/Chi-m-n?-ya/ My God is present,,,,,,,
Chimuanya,,,,,/Chi-mu-anya/ God is awake,,,,,,,
Chinagorom,,,,,/Chi-na-ag?r?-m/ God defends or absolves me of wrong doing in a case,,,,,,,
Chinasa,,,,,/Chi-na-asa/ God replies. Commonly: Chinasaramokwu,,,,,,,
Chinasaramokwu,,,,,/Chi-na-asara-m-okwu/ God replies my accusers,,,,,,,
Chinecherem,,,,,/Chi-na-echere-m/ God worries on my behalf. ,,,,,,,
Chinedu,,,,,/Chi-na-edu/ God leads (me). ,,,,,,,
Chineke,,,,,/Chi-na-eke/ Chi who creates or Chi the creator,,,,,,,
Chinelo,,,,,/Chi-na-elo/ God plans (for me),,,,,,,
Chinemelum,,,,,/Chi-na-emelu-m/ God does (good) things for me. A dialectal var of Chinemerem,,,,,,,
Chinemerem,,,,,/Chi-na-emere-m/ God does (good) things for me. A dialectal var of Chinemelum,,,,,,,
Chinenye,,,,,/Chi-na-enye/ God gives (all good thing),,,,,,,
Chinonye,,,,,/Chi-nonye/ May God be by me,,,,,,,
Chinua,,,,,short for Chinualumogu,,,,,,,
Chinualumogu,,,,,/Chi-nualu-m-?g?/ May my Chi fight my battles,,,,,,,
Chinwe,,,,,/Chi-nwe/ lit: God owns. Usually short for Chinwendu and Chinweoke,,,,,,,
Chinweike,,,,,/Chi-nwe-ike/ God is Powerful. Also rendered as Chukwunweike,,,,,,,
Chinweikpe,,,,,/Chi-nwe-ikpe/ God will judge,,,,,,,
Chinwendu,,,,,/Ch-nwe-nd?/ God owns (my) life,,,,,,,
Chinweoke,,,,,/Chi-nwe-oke/ God owns (my) portion,,,,,,,
Chinweokwu,,,,,/Chi-nwe-okwu/ God has the final say or God will speak on my behalf,,,,,,,
Chinwike,,,,,/Chi-nwe-ike/ See: Chinweike,,,,,,,
Chinwuba,,,,,/Chi-nwe-?ba/ lit: God owns prosperity. imp: It is God who causes us to prosper,,,,,,,
Chinwuko,,,,,/Chi-nwe-uko/ God has all loftiness. Imp: All promotion comes from God,,,,,,,
Chinyeaka,,,,,/Chi-nye-aka/ May God grant me help,,,,,,,
Chinyelugo,,,,,/Chi-nyel?-ugo/ God gave honour. A var. of Nnanyelugo,,,,,,,
Chioma,,,,,"1. Good or favourable Chi or good fortune. 2. Good God. *Amongst the Igbos, good fortunes are considered to be a function of one's personal chi. A child may be named Chioma as a prayer for favorable Chi or acknowledging this favourable outcome (a child) one's Chi is resposible for. ",,,,,,,
Chisom,,,,,/Chi-so-m/ God is with me,,,,,,,
Chito,,,,,,,,,,,,
Chiwetalu,,,,,/Chi-wetal?/ lit. God has brought. imp. One or a thing that has come from God,,,,,,,
Chizaram,,,,,/Chi-zara-m/ God answered me- particularly of prayers,,,,,,,
Chizitelu,,,,,/Chi-zitel?/ God Sent,,,,,,,
Chizoba,,,,,/Chi-z?ba/ May God continue to save us.  A var. of Anizoba,,,,,,,
Chuba,,,,,Short form Chinwuba,,,,,,,
Chude,,,,,,,,,,,,
Chudi,,,,,See: Chidi,,,,,,,
Chuka,,,,,Contraction of the name Chukwuka,,,,,,,
Chukwu,,,,,"/Chi-Ukwu/ The Great Chi. Also rendered as Chikwu. Traditionally addressed as ""Chukwu Okike""- the Great Spirit who created and is creating all things including the Alusi (deities) who administer the world on its behalf. Different from the personal Chieven though they are employed loosely and interchangeably.",,,,,,,
Chukwudi,,,,,/Chukwu-d?/ God is,,,,,,,
Chukwuebuka,,,,,/Chukwu-ebuka/ God is great,,,,,,,
Chukwuemeka,,,,,/Chukwu-emeka/ God did so well,,,,,,,
Chukwueze,,,,,/Chukwu-eze/ God who is king.,,,,,,,
Chukwuezugo,,,,,/Chukwu-ezugo/ God is sufficient,,,,,,,
Chukwujekwu,,,,,/Chukwu-jee-ekwu/ God will speak (on my behalf),,,,,,,
Chukwuka,,,,,/Chukwu-ka/ God is preeminent. Also Short for Chukwukadibia,,,,,,,
Chukwukadibia,,,,,/Chukwu-ka-dibia/ God is more powerful than the medicine man,,,,,,,
Chukwuma,,,,,/Chukwu-ma/ God Knows,,,,,,,
Chukwuneke,,,,,/Chukwu-na-eke/ God who is creating or God who is the creator,,,,,,,
